Xin chào khán giả TEDx và tất cả mọi người có mặt tại nhà hát của VinUni. Linh rất vui khi hôm nay được tham quan một campus cực kỳ đẹp và được speak trong một sân khấu rất là hoành tráng. 	Hello everyone. I want to thank TEDx for having me here today in this beautiful auditorium within VinUni campus.
Trước khi bắt đầu, cho phép mình giới thiệu một chút về bản thân.	Before we begin, I would like to introduce a little bit about myself.
Ở đây, chắc sẽ có một số bạn nhớ đến Linh với hình ảnh người mẫu lookbook, có bạn đã thấy Linh trên chương trình truyền hình thực tế The Face.	A few of you probably have known me as a lookbook model, some has seen me on the reality show The Face. 
Gần đây nhất, Linh thường tự giới thiệu mình là một fashion influencer, mà mọi người hay gọi là Cô Em Trendy.	And most recently I have introduced myself as a fashion influencer, or most people have called me Cô Em Trendy.
Ngày hôm nay, đứng tại đây, Linh muốn được trò chuyện và chia sẻ cùng các bạn ở cương vị là giám đốc của công ty đầu tiên mà chính tay mình thành lập.	Today I want to talk to you and share with you my story from the point of view of a CEO of her first company.
Một startup có tên là Cô Em Trendy.	A startup called Cô Em Trendy.
Công ty sắp tròn 1 tuổi và đã đạt được nhiều cột mốc quan trọng với mình.	My company is almost one year old and has achieved some milestones that’s important to me.
Nhưng chặng đường mình bắt đầu làm việc trong ngành thời trang cũng đã được 5 năm rồi. Trong quãng thời gian đó, Linh đã thay đổi rất nhiều và chứng kiến nhiều phiên bản của bản thân.	My path in the fashion industry has been almost 5 years. During this time, I have changed a lot and witnessed many versions of myself.
Linh tự hỏi rẳng điều gì đã bắt một người lì lợm như mình phải thay đổi, và Linh nhận thấy đó chính là nỗi sợ.	I have frequently asked myself what has forced someone as stubborn as me to change and I realize it is fear.
Hoặc nói đúng hơn là động lực vượt qua những nỗi sợ đó.	Or rather the drive to get over those fears.
Với chủ đề Reinvent the Wheel, mình muốn mang đến một cái nhìn mới về nỗi sợ và cách biến nó thành sức mạnh.	Within the theme Reinvent the Wheel, I want to bring to the table an angle of how we look at fears and turn them into power.
Ngay tại đây và ngay lúc này Linh cũng đang mang theo mỗi nỗi sợ rụng rời mà Linh nghĩ ở đây mọi người có thể đồng cảm, đó chính là sợ nói chuyện trước đám đông.	Right now and right here I am carrying with me a deadly fear that I think a lot of people can relate, and it is the fear of speaking in front of the crowd.
Và Linh nghĩ Linh không phải người duy nhất trong khán phòng này sợ điều đó đúng ko? Nếu đúng thì cho Linh một tràng pháo tay để cổ vũ tinh thần nhé.	I’m sure I’m not the only one with this fear, right? If so, could I have a round of applause to feel a bit more confident.
Ngoài ra, Linh cũng mang theo rất nhiều nỗi sợ khác mà kể sẽ không hết được, ví dụ như là: Sợ đám đông, Sợ bắt chuyện với người lạ	I have also a lot of other fears that will take days to list out for example, fear of the crowd, fear of speaking to strangers,
Sợ người lạ bắt chuyện với mình, Sợ nói chuyện trước camera, Sợ người khác thấy mình nhảy theo nhạc, Sợ catwalk	fear of strangers speaking to me, fear of speaking in front of the camera, fear us dancing in front of others, fear of cat walk,
Sợ bị đánh giá, Sợ đặt lòng tin vào nhầm người, Sợ nói tiếng anh dở, Sợ nói ra NỖI SỢ của mình	fear of being judged, fear of putting trust in the wrong people, fear of speaking English, and fear of talking about my fears.
Nhưng trong 2 phút vừa qua, các bạn đã thấy là mình đã vượt qua kha khá những nỗi sợ bên trên. Mình đang đứng trước rất nhiều người mà mình vừa mới gặp hôm nay.	But in the past two minutes, you saw that I have overcome quite a bit of those fears. I am standing in front of a lot of people that I just met today.
Mình đang nói trước rất nhiều máy quay, mình đang nói ra rất nhiều điều làm mình sợ và thật ra thì nó cũng không đáng sợ đến thế. Chỉ là hơi hơi thôi.	I’m speaking in front of the camera and I’m talking about all of the stuff that scare me to death. And turns out they’re not that scary, well just a little bit.
Nỗi sợ được chia làm 2 loại cơ bản, RATIONAL FEAR AND IRRATIONAL FEAR  - NỖI SỢ THỰC TẾ VÀ NỖI SỢ KHÔNG THỰC TẾ	Fears are classified into two groups: rational fear, and irrational fear.
Nỗi sợ thực tế là những thứ nguy hiểm và mang tính đe doạ đến sự an toàn của bạn, hiển hiện ngay trước mắt, ví dụ như sợ độ cao chẳng hạn.	Rational fear are about dangerous things that are life-threatening, that are right in front of your face, for example, fear of heights.
Đứng trên một chiếc cầu trong suốt, bạn sẽ sợ rơi. Lúc đó, hạch hạnh nhân, một phần của não bộ kiểm soát cảm sợ hãi bắt đầu vào việc.	Standing on a transparent bridge, you’re scared of falling. Right then your amygdala the part of your brain that controls fear and pleasure starts working. 
Stress hormones như cortisol, adrenaline tăng lên. Bạn đổ mồ hôi, thở gấp. 	Stress hormones like cortisol, adrenaline spikes. You start to sweat, you breathe a little faster.
Nỗi sợ không thực tế thì vô hình, trừu tượng hơn và ko có logic. Ví dụ như trò chuyện trước đám đông đâu có gì nguy hiểm.	Irrational fears can be intangible, abstract, and non-logical for example, speaking in front of a crowd has no dangerous element to it
Nhưng tại sao có những người (chính là Linh) cũng vẫn cảm thấy hồi hộp, khó thở, toát mồ hôi và chóng mặt quay cuồng?	but why do some people for example, me feel nauseated, short of breath, and sweat profusely?
Trước đây, Linh sẽ chọn việc cất giấu những nỗi sợ không thực tế vào một góc và mong rằng một ngày mình sẽ quên nó đi.	Previously, I would choose to hide all my irrational fears in a corner and hope that one day I would forget it
Nhưng tất nhiên một lúc nào đó trong lúc mình nhạy cảm nhất thì nó sẽ quay lại một cách mạnh mẽ.	but obviously one day when I’m the most vulnerable they’re going to come back strongly.
Chúng ta thường không muốn chấp nhận rằng mình kém, mình sợ, vì xã hội dạy chúng ta rằng, sợ là yếu đuối nên chúng ta thường chối bỏ nó.	We usually don’t want to accept that we’re unqualified and scared, because society taught us that fear equals weakness so we usually disown this part of ourselves.
Nhưng như vậy, là chối bỏ một phần của bản thân và không chấp nhận 100% những gì thuộc về chúng ta. 	But doing so, is denying a part of ourselves and not accepting 100% of ourselves.
Và nếu chúng ta không đối mặt với nỗi sợ, thì làm sao chúng ta có thể trở thành một phiên bản tốt hơn?	And if we don’t want to face our fears, how do we become a better version of ourselves?
Năm 21 tuổi Linh lần đầu tiên nhận lời làm model. Lúc đó thú thật là Linh cũng thấy hơi sợ, vì mình không có kinh nghiệm, kĩ năng hay tỉ lệ của một người mẫu.	When I was 21, I became a lookbook model. To be honest I was a little scared, because I had no experience and didn’t have the body proportions of a model.
Còn gương mặt thì sao? Thì cũng ưa nhìn, nhưng nếu để nói làm model lookbook thì…Linh cũng không hiểu vì sao hồi đó được book nữa.	What about the face? Well, it was fine, but not model status. Honestly, I didn’t know how I even got booked then.
Sợ làm model thì ít, nhưng sợ hơn cả là không có tự do về tài chính.	But that was just a small fear. The bigger fear was not having financial freedom.
Vì vậy Linh coi đây là một công việc phải làm, cơ hội tới thì mình nắm lấy thôi.	I see this as a job that I had to do. An opportunity that came and I needed to be on board.
Linh cũng đã từng bị chê rất nhiều vì diễn đơ, mắt thì lờ đờ.	I received a lot of negative feedbacks because I didn’t know how to pose, my eyes were just dead.
Một người chủ shop, cũng là bạn mình còn trêu là “hôm đầu tiên em đến chụp, anh định dập cầu dao vì người không như hình.	A friend of mine even joked that he wanted to cancel the shoot when he saw me.
Nhưng may mắn, mình là đứa makeup lên cũng ăn hình nên phù hợp với công việc.	Fortunately, I looked okay in makeup so it was a smooth ride.
Và cứ thế shoot này đến shoot khác, shop này qua shop nọ, mỗi ngày chụp cả trăm bộ đồ, sau 1 năm người ta gọi mình là “nữ hoàng lookbook”.	And then shoot after shoot shop after shop, some days I even do 100 outfits per day and after one year they called me the “lookbook queen”. 
Lúc này nhìn lại nỗi sợ của ngày xưa, mình thấy nó thật nhỏ bé và ngốc nghếch.	Now looking back, I found my fears small and laughable.
The Face là nơi mình đối mặt với rất nhiều nỗi sợ:  sợ đám đông, sợ đứng trên sân khấu, sợ catwalk, sợ bị đánh giá, tất cả được đóng gói gọn ghẽ trong một format truyền hình thực tế rất hot bấy giờ.	The Face was where I had to face a lot of my fears: fear of the crowd, fear of standing on stage. fear of catwalk, feel of being judged, all wrapped in a reality show format.
Lúc đầu, khi biết vòng casting có màn catwalk với bikini, mình đã thôi luôn. Nhưng vì sợ sống trong sự hèn nhát hay hối hận nên mình đã lỡ tay đăng ký dự thi online.	At first, knowing that I had to catwalk in bikini for the casting round, I was done, but I didn’t want to be a coward, so I signed up anyway.
Mọi thứ cứ đến rất nhanh, và bây giờ nghĩ lại, mình cứ bị cuốn đi mà không có thời gian để xử lý những cảm xúc hỗn độn bên trong.	Everything came really fast and now looking back, I didn’t have time to process all these mass of emotions that I felt.
Mình vẫn nhớ mãi cái giây phút bước ra trường quay, ánh sáng chói loà và tai mình ù đi, chỉ nghe được ban giám khảo gọi mình là “tờ giấy trắng”.	I still remember the moment I step out into the set. The lights were very blinding, and my ears were ringing I only remember the judges called me a blank page.
Ngẫm nghĩ về 3 từ “tờ giấy trắng”, mình cũng ko rõ là khen hay chê, nhưng nếu viết gì, vẽ gì lên tờ giấy trắng cũng được, thì đó sẽ là một khởi đầu mới cho mình.	Thinking about those words a blank page I wasn’t sure if it’s a compliment or something else, but I felt that it’s a good start for me.
Mình có thể làm bất kì điều gì, trở thành bất kì ai, tương lai rộng mở và không giới hạn.	I could do anything become anyone my future is open and there’s no limit.
Đến tập 3 thì mình bị loại. Một màn loại thật nhiều nước mắt, nhiều nhất là của mình.	Well, I was eliminated in episode three it came with a lot of tears, mostly mine.
Tất cả những nỗi sợ hãi, lo lắng (và sợ nhất là khóc xấu xí trên máy quay cho cả nước xem) cũng đã qua.	All my fears, worries, and especially the fear of ugly cry on camera in front of the whole nation has passed.
Tối hôm đó mình về khách sạn, cảm thấy nhẹ nhõm lạ thường.	That night I was back in the hotel, feeling extremely relieved.
Những nỗi sợ thì vẫn còn đó. Nhưng cứ mỗi lần đối diện với chúng thì nỗi sợ lại nhỏ đi 1 tí và mình lại mạnh mẽ, rắn rỏi hơn thật nhiều.	The fears are still there, but every time I come to face them, they shrink a little bit, and I feel much stronger.
Sẵn chúng mình đang tâm sự, Linh sẽ kể cho mọi người một câu chuyện mà Linh chưa kể với ai.	Since we're in the mood for a little secret, I will let you in on something I’ve never told anyone.
Lần đầu đi fashion week, mình lo lắng nhưng cũng háo hức thật nhiều vì đó là chiếc vé đầu tiên mời đi dự show của mình. Mình đã đặt vé máy bay, khách sạn, và chuẩn bị cả chục bộ đồ cho chuyến đi này.	The first time I went to fashion week I was nervous, but mostly excited because it was my first invitation. I booked the flight, the hotel and 10 outfits for this trip,
Thế nhưng 3 ngày trước khi khởi hành, mình nhận được tin là suất vé của mình đã không còn vì đã được dành cho một người khác.	but three days before the departure I received news that my slot was no longer available because it was meant for someone else.
Cũng dễ hiểu khi lúc đó mình đã buồn rất nhiều. Nhưng mình cũng được nhắc nhở rằng, không gì là chắc chắn cả.	It was quite understandable how disappointed I felt then, but I also was reminded that nothing is for sure.
